,ARSON,ASSAULT,BAD CHECKS,BRIBERY,BURGLARY,DISORDERLY CONDUCT,DRIVING UNDER THE INFLUENCE,DRUG/NARCOTIC,DRUNKENNESS,EMBEZZLEMENT,EXTORTION,FAMILY OFFENSES,FORGERY/COUNTERFEITING,FRAUD,GAMBLING,KIDNAPPING,LARCENY/THEFT,LIQUOR LAWS,LOITERING,MISSING PERSON,NON-CRIMINAL,OTHER OFFENSES,PORNOGRAPHY/OBSCENE MAT,PROSTITUTION,RECOVERED VEHICLE,ROBBERY,RUNAWAY,SECONDARY CODES,"SEX OFFENSES, FORCIBLE","SEX OFFENSES, NON FORCIBLE",STOLEN PROPERTY,SUICIDE,SUSPICIOUS OCC,TREA,TRESPASS,VANDALISM,VEHICLE THEFT,WARRANTS,WEAPON LAWS,district,total,year
0,8,1045,11.0,1.0,933,83,9,175,81,25,9.0,5,204,292,8.0,15,3544,16,28.0,186,1709,1082,,160.0,,299,8.0,88,53,,54,7.0,368,,170,697,1425,418,76,CENTRAL,13292,2005
0,13,1076,14.0,,891,61,20,228,99,30,7.0,4,224,324,10.0,22,3865,16,7.0,195,1609,1227,1.0,167.0,63.0,334,9.0,102,57,,45,9.0,420,,155,724,583,398,84,CENTRAL,13093,2006
0,19,1121,12.0,4.0,634,94,19,304,77,47,7.0,4,270,298,8.0,30,3904,22,36.0,196,1519,1237,1.0,393.0,48.0,331,7.0,105,64,2.0,35,9.0,411,,129,758,637,459,84,CENTRAL,13335,2007
0,21,1250,11.0,4.0,661,72,28,401,94,59,6.0,2,258,356,4.0,28,3876,17,14.0,214,1546,1480,,305.0,61.0,337,3.0,129,48,,49,8.0,435,,143,699,489,382,76,CENTRAL,13566,2008
0,16,1159,9.0,3.0,623,61,75,396,93,28,34.0,4,211,292,9.0,43,3879,27,5.0,137,1519,1742,,110.0,42.0,272,4.0,134,53,,62,12.0,377,,100,693,434,332,71,CENTRAL,13061,2009
0,10,1102,11.0,5.0,590,64,28,265,75,23,13.0,4,95,331,3.0,33,3409,31,6.0,187,1633,1560,,47.0,39.0,271,7.0,128,63,1.0,59,6.0,544,1.0,111,674,303,383,55,CENTRAL,12170,2010
0,17,1126,8.0,3.0,552,61,36,188,64,28,5.0,2,125,336,,41,3571,13,3.0,220,1845,1529,1.0,22.0,52.0,307,5.0,137,62,2.0,79,9.0,573,,119,724,403,417,72,CENTRAL,12757,2011
0,16,1114,7.0,2.0,675,55,25,228,83,29,7.0,3,130,368,2.0,23,4223,6,11.0,266,1871,1493,,16.0,49.0,384,7.0,127,61,,117,13.0,625,1.0,164,805,490,445,92,CENTRAL,14033,2012
0,19,1373,20.0,2.0,1159,117,28,748,65,25,3.0,3,277,351,3.0,37,4708,29,89.0,326,1573,1850,,364.0,,445,30.0,107,60,,91,16.0,472,,114,963,2287,781,142,NORTHERN,18677,2005
0,21,1446,13.0,2.0,1172,58,55,908,79,18,7.0,6,288,371,3.0,33,5314,18,11.0,325,1545,2160,2.0,380.0,96.0,486,22.0,146,67,3.0,84,18.0,527,,107,1072,836,848,132,NORTHERN,18679,2006
0,23,1301,9.0,1.0,849,42,40,921,57,29,5.0,2,277,251,2.0,29,4563,24,54.0,309,1442,1935,1.0,369.0,83.0,369,20.0,146,50,1.0,82,23.0,469,,129,948,702,756,117,NORTHERN,16430,2007
0,29,1364,7.0,4.0,974,49,40,712,60,28,5.0,3,253,282,1.0,31,4210,32,74.0,305,1333,2040,1.0,352.0,71.0,436,26.0,180,66,2.0,98,18.0,488,,96,950,765,549,146,NORTHERN,16080,2008
0,29,1311,13.0,3.0,926,42,65,808,61,26,3.0,3,226,281,3.0,57,4033,20,32.0,238,1376,2255,,165.0,55.0,449,11.0,198,72,3.0,128,7.0,502,,101,977,610,616,133,NORTHERN,15838,2009
0,19,1204,7.0,4.0,819,50,36,756,55,19,5.0,7,135,329,2.0,33,3307,16,18.0,327,1429,1887,2.0,372.0,44.0,387,11.0,186,71,5.0,107,10.0,538,,70,824,462,591,119,NORTHERN,14263,2010
0,17,1221,3.0,1.0,711,88,39,588,37,19,6.0,3,116,391,1.0,45,3633,12,8.0,273,1654,1797,,324.0,52.0,375,5.0,171,80,3.0,106,9.0,704,,107,719,562,654,121,NORTHERN,14655,2011
0,20,1249,4.0,5.0,991,107,32,556,31,17,2.0,3,121,339,1.0,30,4589,6,34.0,339,1881,1708,,194.0,54.0,481,7.0,178,99,,145,8.0,653,,181,833,707,613,123,NORTHERN,16341,2012
0,37,1348,11.0,14.0,609,34,22,318,29,13,1.0,10,247,210,3.0,39,1449,9,7.0,444,1126,1836,,8.0,,443,24.0,115,87,4.0,45,3.0,539,,57,786,2748,399,199,INGLESIDE,13273,2005
0,35,1382,6.0,9.0,575,24,31,361,43,16,2.0,17,252,210,1.0,45,1508,11,8.0,430,1021,2216,,6.0,236.0,485,31.0,179,66,3.0,44,9.0,498,,52,1002,1223,420,197,INGLESIDE,12654,2006
0,34,1553,6.0,16.0,509,26,43,474,27,20,5.0,14,257,194,1.0,44,1287,22,4.0,468,1011,2413,,5.0,220.0,544,16.0,200,72,9.0,57,10.0,550,,93,966,966,474,187,INGLESIDE,12797,2007
0,25,1381,7.0,9.0,530,28,37,415,31,12,6.0,9,223,185,3.0,49,1410,18,2.0,446,932,2476,1.0,7.0,152.0,564,17.0,220,89,4.0,24,12.0,514,,56,898,840,323,218,INGLESIDE,12173,2008
0,21,1366,3.0,12.0,452,24,52,407,33,16,5.0,15,216,178,1.0,67,1547,32,3.0,469,956,2373,,4.0,152.0,450,36.0,244,94,2.0,42,12.0,442,,62,966,865,309,207,INGLESIDE,12135,2009
0,22,1414,4.0,14.0,478,35,28,577,36,10,6.0,11,104,180,1.0,55,1659,21,2.0,513,951,2279,1.0,3.0,117.0,374,37.0,217,79,6.0,54,4.0,549,,59,1061,830,380,180,INGLESIDE,12351,2010
0,31,1301,2.0,4.0,433,32,53,336,26,5,9.0,8,56,182,4.0,55,1673,10,1.0,543,1119,2302,,1.0,145.0,394,22.0,199,75,7.0,45,11.0,573,,59,915,754,371,178,INGLESIDE,11934,2011
0,36,1364,5.0,7.0,541,35,36,316,28,12,6.0,11,63,205,4.0,35,1823,9,3.0,492,1203,2049,,3.0,144.0,421,11.0,248,103,8.0,74,13.0,455,,55,869,1308,339,185,INGLESIDE,12519,2012
0,24,1769,13.0,4.0,814,60,23,1206,107,42,7.0,5,511,483,3.0,42,5610,59,27.0,353,3217,2888,1.0,31.0,,604,21.0,98,122,6.0,108,13.0,722,,176,925,1491,1362,139,SOUTHERN,23086,2005
0,22,1904,13.0,2.0,854,55,28,1304,135,58,6.0,7,467,504,4.0,52,6435,56,8.0,359,3142,2571,,25.0,91.0,699,12.0,139,131,5.0,145,9.0,724,,245,1047,646,1294,127,SOUTHERN,23325,2006
0,26,1981,10.0,6.0,783,65,37,1758,133,46,7.0,11,526,502,10.0,65,6129,58,241.0,382,2892,3136,,17.0,95.0,643,17.0,188,153,11.0,125,20.0,708,,188,1040,621,1379,166,SOUTHERN,24175,2007
0,26,1876,19.0,6.0,751,91,38,1975,170,45,8.0,10,587,619,3.0,41,5723,123,284.0,317,2733,3801,,29.0,86.0,632,10.0,167,122,4.0,129,8.0,684,,184,871,594,1232,155,SOUTHERN,24153,2008
0,35,1808,10.0,5.0,819,54,50,2039,177,45,5.0,8,462,610,2.0,63,5994,86,24.0,415,2709,3935,,20.0,65.0,577,17.0,208,146,2.0,177,8.0,635,,202,968,538,1308,183,SOUTHERN,24409,2009
0,33,2126,14.0,10.0,663,75,61,1743,168,38,12.0,8,267,680,,62,6382,57,38.0,664,3280,3611,,25.0,73.0,630,21.0,261,144,3.0,162,18.0,1092,,226,1253,372,1571,206,SOUTHERN,26049,2010
0,22,2193,12.0,7.0,688,84,43,1227,162,36,6.0,7,186,614,2.0,64,6078,64,23.0,787,3424,3316,1.0,15.0,77.0,653,18.0,235,156,2.0,176,9.0,1028,,199,1041,418,1441,194,SOUTHERN,24708,2011
0,30,2013,8.0,12.0,768,98,58,941,149,29,5.0,4,251,523,,42,7619,57,10.0,545,3437,3158,2.0,25.0,97.0,793,11.0,225,136,8.0,203,9.0,1008,,235,1310,494,1384,193,SOUTHERN,25890,2012
0,23,1637,12.0,8.0,776,177,37,1580,112,21,5.0,12,226,289,7.0,32,2613,93,70.0,544,1957,2976,2.0,346.0,,514,28.0,147,94,6.0,62,6.0,523,,128,792,2418,1092,195,MISSION,19560,2005
0,20,1756,11.0,6.0,749,171,31,1937,103,24,5.0,23,261,320,2.0,28,2535,73,37.0,554,1814,2872,2.0,591.0,121.0,638,24.0,182,90,6.0,69,9.0,550,,165,875,994,1077,191,MISSION,18916,2006
0,19,1737,5.0,9.0,544,202,37,1548,168,30,2.0,23,305,283,1.0,42,2502,156,50.0,511,1755,2827,,740.0,113.0,621,15.0,196,87,6.0,57,19.0,582,,181,863,830,1168,200,MISSION,18434,2007
0,15,1919,6.0,11.0,571,189,49,1672,158,27,6.0,17,255,285,5.0,52,2772,164,23.0,483,1749,3783,,707.0,82.0,659,19.0,195,100,3.0,55,13.0,588,,171,876,881,951,210,MISSION,19721,2008
0,11,1816,6.0,5.0,464,257,76,1510,112,22,5.0,23,285,280,9.0,72,2602,102,34.0,386,1599,3745,,997.0,75.0,562,75.0,239,98,3.0,83,10.0,589,,186,931,766,896,186,MISSION,19117,2009
0,23,1654,3.0,6.0,402,231,83,1386,104,18,3.0,24,136,269,2.0,47,2893,75,41.0,521,1793,3062,,774.0,64.0,498,65.0,260,104,3.0,99,11.0,687,,126,946,572,945,191,MISSION,18121,2010
0,21,1681,7.0,10.0,404,166,87,980,118,16,3.0,20,109,301,1.0,47,3348,50,14.0,489,2201,2759,,657.0,69.0,565,84.0,234,122,4.0,116,13.0,744,,105,874,675,940,203,MISSION,18237,2011
0,22,1912,2.0,18.0,615,104,74,843,99,20,7.0,33,114,332,3.0,43,3611,44,6.0,585,2214,2511,,333.0,67.0,580,87.0,289,133,4.0,137,18.0,699,,138,1063,850,947,231,MISSION,18788,2012
0,5,1093,12.0,2.0,248,19,10,3046,30,26,1.0,4,103,159,1.0,33,1565,21,22.0,109,900,1735,,151.0,,342,2.0,57,47,,49,8.0,346,,112,210,361,1106,126,TENDERLOIN,12061,2005
0,10,1289,4.0,2.0,285,20,13,2731,42,21,2.0,2,108,144,,24,1565,21,9.0,109,968,1784,,96.0,47.0,354,,75,24,,55,,341,,101,273,133,1024,115,TENDERLOIN,11791,2006
0,3,1453,2.0,3.0,217,32,16,3790,40,21,3.0,7,128,191,7.0,28,1722,36,19.0,117,1071,2469,,310.0,48.0,400,1.0,106,46,1.0,52,7.0,415,,110,299,100,1348,117,TENDERLOIN,14735,2007
0,9,1393,5.0,3.0,237,273,10,4896,63,22,4.0,3,144,162,5.0,27,1572,57,12.0,125,1026,3419,2.0,226.0,40.0,362,,132,47,1.0,51,11.0,344,,258,246,102,1233,159,TENDERLOIN,16681,2008
0,7,1335,3.0,3.0,253,366,33,4834,125,11,,12,104,169,,43,1444,36,18.0,143,1061,3800,,141.0,21.0,302,,144,58,,54,7.0,359,,352,259,82,1206,169,TENDERLOIN,16954,2009
0,5,1306,1.0,4.0,238,253,12,2887,118,12,2.0,10,92,187,,31,1309,42,75.0,168,1473,2388,,51.0,18.0,307,1.0,175,60,,46,5.0,623,,326,244,95,1084,125,TENDERLOIN,13773,2010
0,10,1251,3.0,2.0,247,228,19,2197,81,18,1.0,2,42,190,,42,1497,37,68.0,152,1363,1897,1.0,63.0,33.0,309,2.0,173,46,,63,6.0,555,,276,238,86,1122,104,TENDERLOIN,12424,2011
0,12,1038,,2.0,260,214,17,2019,66,15,4.0,3,55,186,,25,1596,17,66.0,162,1369,1729,,109.0,31.0,403,2.0,118,40,,62,2.0,404,,263,249,61,1067,125,TENDERLOIN,11791,2012
0,10,480,5.0,,529,19,29,90,19,4,2.0,2,135,167,,7,1272,9,,166,837,695,,8.0,,147,9.0,44,28,2.0,21,5.0,304,,43,532,1484,124,36,RICHMOND,7264,2005
0,14,499,7.0,2.0,501,15,27,167,16,6,4.0,3,129,190,1.0,16,1379,5,,169,701,658,,1.0,44.0,125,31.0,78,31,,34,6.0,320,,26,550,500,137,49,RICHMOND,6441,2006
0,18,519,2.0,4.0,332,21,30,180,22,12,3.0,1,157,177,3.0,13,1376,13,3.0,155,794,727,,,46.0,119,17.0,71,25,4.0,13,11.0,328,,34,546,603,164,43,RICHMOND,6586,2007
0,21,536,4.0,2.0,331,18,85,139,21,5,4.0,5,142,158,,12,1605,14,10.0,195,726,975,,6.0,37.0,123,26.0,74,28,,30,7.0,333,,46,535,464,114,44,RICHMOND,6875,2008
0,21,536,4.0,1.0,344,20,99,187,27,13,9.0,4,160,210,2.0,16,1531,12,1.0,168,756,946,,4.0,22.0,124,29.0,94,29,1.0,22,10.0,348,,34,532,316,137,56,RICHMOND,6825,2009
0,9,522,3.0,2.0,357,14,103,218,29,10,4.0,3,54,167,,14,1200,14,2.0,158,783,1051,,1.0,30.0,119,12.0,115,40,3.0,45,2.0,393,,32,520,282,127,62,RICHMOND,6500,2010
0,13,520,3.0,1.0,402,16,73,143,27,7,3.0,5,49,175,,11,1338,13,1.0,217,832,999,,,21.0,93,15.0,92,30,2.0,45,4.0,362,,41,553,339,166,51,RICHMOND,6662,2011
0,12,507,5.0,1.0,481,12,44,189,32,10,2.0,4,56,150,,13,1777,27,,214,1073,1038,,1.0,33.0,106,19.0,96,38,,34,5.0,445,,40,524,488,178,53,RICHMOND,7707,2012
0,25,877,7.0,1.0,678,51,21,229,89,21,2.0,6,242,219,2.0,25,1632,22,6.0,546,1128,1252,2.0,18.0,,228,97.0,126,51,2.0,39,10.0,594,,57,816,2265,279,91,TARAVAL,11756,2005
0,17,933,9.0,1.0,558,39,19,203,78,23,14.0,8,266,233,4.0,34,1996,9,4.0,785,987,1143,,12.0,94.0,290,95.0,149,47,4.0,35,10.0,515,,73,851,927,246,116,TARAVAL,10827,2006
0,25,847,14.0,7.0,515,38,21,216,57,23,5.0,4,320,196,,29,1647,24,10.0,774,845,1175,1.0,19.0,88.0,284,85.0,136,43,2.0,30,6.0,465,,72,820,787,254,104,TARAVAL,9988,2007
0,17,881,8.0,3.0,509,17,48,354,44,20,9.0,4,295,227,1.0,31,1910,28,9.0,640,938,1535,,32.0,73.0,287,67.0,160,64,1.0,30,9.0,511,,66,924,674,243,101,TARAVAL,10770,2008
0,19,820,8.0,3.0,461,22,60,426,45,21,22.0,2,277,242,1.0,38,1958,28,4.0,522,966,1581,,16.0,49.0,223,51.0,140,60,1.0,37,8.0,535,,50,844,523,205,83,TARAVAL,10351,2009
0,20,959,5.0,4.0,503,21,41,246,34,7,10.0,11,88,237,,32,1547,20,2.0,465,944,1317,,18.0,56.0,206,15.0,143,67,2.0,20,14.0,584,,51,849,470,203,99,TARAVAL,9310,2010
0,20,847,3.0,5.0,590,27,50,260,35,17,4.0,5,58,267,,57,1943,17,2.0,452,1125,1362,,6.0,55.0,210,17.0,159,65,5.0,37,8.0,513,,52,850,463,210,80,TARAVAL,9876,2011
0,27,879,10.0,5.0,722,20,56,240,36,16,3.0,5,72,302,1.0,25,2104,25,3.0,376,1318,1462,,2.0,66.0,201,16.0,191,60,2.0,39,12.0,508,,70,756,505,287,93,TARAVAL,10515,2012
0,70,1373,7.0,4.0,783,66,8,785,44,15,3.0,15,170,156,1.0,39,1654,5,20.0,679,899,2615,,16.0,,403,51.0,169,63,2.0,46,7.0,555,,131,876,2308,800,270,BAYVIEW,15108,2005
0,73,1568,6.0,8.0,728,28,24,820,44,21,1.0,17,204,154,3.0,52,1382,19,8.0,926,847,2594,,12.0,247.0,555,42.0,245,57,8.0,41,9.0,651,,120,863,907,705,253,BAYVIEW,14242,2006
0,76,1500,6.0,5.0,735,19,35,793,33,22,4.0,6,239,124,5.0,54,1450,24,10.0,789,765,2510,1.0,17.0,217.0,587,20.0,255,59,3.0,55,4.0,626,,210,904,785,737,241,BAYVIEW,13925,2007
0,72,1510,5.0,7.0,678,21,39,595,22,16,2.0,11,192,142,5.0,61,1477,16,11.0,1138,745,2804,1.0,6.0,203.0,669,35.0,248,83,4.0,41,8.0,593,,90,972,804,520,258,BAYVIEW,14104,2008
0,44,1562,7.0,10.0,702,39,31,713,27,22,7.0,10,159,127,,62,1332,19,4.0,788,767,3056,,10.0,148.0,436,49.0,300,47,3.0,40,4.0,584,,91,1011,684,446,276,BAYVIEW,13617,2009
0,63,1595,6.0,10.0,589,43,27,662,34,14,3.0,11,62,127,2.0,39,1600,17,1.0,1043,824,2819,1.0,7.0,148.0,411,47.0,303,76,7.0,60,7.0,709,1.0,99,1115,657,575,262,BAYVIEW,14076,2010
0,49,1661,3.0,13.0,547,18,27,659,55,16,4.0,5,47,138,9.0,46,1449,24,2.0,1144,954,2638,,6.0,154.0,335,63.0,347,66,4.0,77,3.0,818,,74,875,679,641,264,BAYVIEW,13914,2011
0,58,1591,4.0,10.0,642,20,38,693,63,16,1.0,9,82,152,7.0,37,1812,22,2.0,904,1185,2645,,7.0,148.0,404,93.0,306,83,3.0,89,3.0,721,1.0,84,893,755,622,300,BAYVIEW,14505,2012
0,10,606,3.0,2.0,542,61,9,356,60,5,1.0,2,94,168,1.0,7,1272,15,4.0,350,709,905,,1.0,,141,118.0,50,33,2.0,25,4.0,270,,46,416,1407,347,67,PARK,8109,2005
0,15,596,4.0,4.0,691,50,18,410,64,12,1.0,2,107,149,,12,1373,20,4.0,401,734,1081,1.0,,47.0,165,116.0,80,29,,23,7.0,229,,58,431,542,349,60,PARK,7885,2006
0,3,506,3.0,1.0,336,42,35,576,57,19,,7,113,133,,11,1190,22,3.0,323,583,1334,,3.0,29.0,129,75.0,72,32,,21,2.0,246,,52,422,429,366,59,PARK,7234,2007
0,13,571,6.0,,437,31,34,489,47,8,2.0,8,119,144,,13,1252,30,2.0,472,575,1144,,3.0,28.0,160,56.0,75,35,1.0,11,6.0,261,,41,371,440,251,52,PARK,7188,2008
0,19,571,1.0,1.0,335,71,38,630,104,11,2.0,2,109,124,1.0,17,1265,32,1.0,391,686,1260,,1.0,26.0,183,68.0,82,25,2.0,15,5.0,256,,54,423,365,309,69,PARK,7554,2009
0,5,506,,2.0,327,41,39,465,53,4,,6,56,149,,9,1140,31,2.0,467,768,1016,,1.0,20.0,121,77.0,81,29,,28,5.0,285,,50,448,303,328,50,PARK,6912,2010
0,3,480,1.0,1.0,413,42,43,357,47,6,,1,32,162,,13,1375,21,2.0,481,1069,953,,,35.0,135,89.0,68,33,,41,4.0,337,,40,454,383,349,62,PARK,7532,2011
0,4,514,4.0,2.0,549,39,41,420,57,5,1.0,2,46,141,,9,1822,13,,490,1385,855,,,34.0,182,77.0,87,38,3.0,32,3.0,342,,58,506,525,418,65,PARK,8769,2012
